Sample	Class
Sample_1	disease
Sample_2	disease
Sample_3	disease
Sample_4	disease
Sample_5	disease
Sample_6	disease
Sample_7	disease
Sample_8	disease
Sample_9	disease
Sample_10	disease
Sample_11	disease
Sample_12	disease
Sample_13	disease
Sample_14	disease
Sample_15	disease
Sample_16	control
Sample_17	control
Sample_18	control
Sample_19	control
Sample_20	control
Sample_21	control
Sample_22	control
Sample_23	control
Sample_24	control
Sample_25	control
Sample_26	control
Sample_27	control
Sample_28	control
Sample_29	control
Sample_30	control
